model,prompt_idx,prompt,duration_ms,mean_cpu_pct,peak_cpu_pct,cores_above_90,thermal_throttle,per_core_peak_min,per_core_peak_max,per_core_peak_mean
qwen2.5:3b,1,What is 2+2?,930,11.1,13.3,2,True,0.0,100.0,25.8
qwen2.5:3b,2,Explain machine learning in one sentence.,2449,0.8,0.8,0,True,0.0,16.7,1.4
qwen2.5:3b,3,Who is the first president of the USA?,2736,2.5,7.5,0,True,0.0,75.0,21.1
qwen2.5:3b,4,What is the capital of France?,832,0.0,0.0,0,True,0.0,0.0,0.0
qwen2.5:3b,5,Describe the water cycle.,40667,1.1,3.3,0,True,0.0,0.0,0.0
llama3.2:3b,1,What is 2+2?,933,13.8,19.0,1,True,0.0,100.0,20.0
llama3.2:3b,2,Explain machine learning in one sentence.,3351,2.8,8.3,0,True,0.0,16.7,2.8
llama3.2:3b,3,Who is the first president of the USA?,2652,0.0,0.0,0,True,0.0,0.0,0.0
llama3.2:3b,4,What is the capital of France?,860,2.2,5.8,0,True,0.0,80.0,6.7
llama3.2:3b,5,Describe the water cycle.,27907,0.8,2.5,0,True,0.0,50.0,7.2
qwen3:4b,1,What is 2+2?,40868,21.2,42.9,1,True,0.0,100.0,8.3
qwen3:4b,2,Explain machine learning in one sentence.,38307,27.1,59.7,1,True,0.0,100.0,11.1
qwen3:4b,3,Who is the first president of the USA?,83983,15.8,47.5,0,True,0.0,0.0,0.0
qwen3:4b,4,What is the capital of France?,43604,25.4,56.3,1,True,0.0,100.0,11.1
phi3:3.8b,1,What is 2+2?,2830,0.0,0.0,0,True,0.0,0.0,0.0
phi3:3.8b,2,Explain machine learning in one sentence.,2490,0.0,0.0,0,True,0.0,0.0,0.0
phi3:3.8b,3,Who is the first president of the USA?,12486,0.3,0.8,0,True,0.0,0.0,0.0
phi3:3.8b,4,What is the capital of France?,15203,2.2,6.6,1,True,0.0,100.0,10.0
